event,nps_bucket,total_responses,matches,mismatches,mismatch_rate
Brooklyn Nets vs. Los Angeles Lakers,Promoter,432,419,13,3%
Brooklyn Nets vs. Memphis Grizzlies,Detractor,40,33,7,18%
Brooklyn Nets vs. Memphis Grizzlies,Passive,57,51,6,11%
Brooklyn Nets vs. Memphis Grizzlies,Promoter,227,222,5,2%
Brooklyn Nets vs. Miami Heat,Detractor,55,40,15,27%
Brooklyn Nets vs. Miami Heat,Passive,108,96,12,11%
Brooklyn Nets vs. Miami Heat,Promoter,451,437,14,3%
Brooklyn Nets vs. Milwaukee Bucks,Detractor,107,90,17,16%
Brooklyn Nets vs. Milwaukee Bucks,Passive,130,117,13,10%
Brooklyn Nets vs. Milwaukee Bucks,Promoter,548,536,12,2%
Brooklyn Nets vs. Minnesota Timberwolves,Detractor,37,29,8,22%
Brooklyn Nets vs. Minnesota Timberwolves,Passive,44,41,3,7%
Brooklyn Nets vs. Minnesota Timberwolves,Promoter,189,185,4,2%
Brooklyn Nets vs. New Orleans Pelicans,Detractor,66,48,18,27%
Brooklyn Nets vs. New Orleans Pelicans,Passive,77,65,12,16%
Brooklyn Nets vs. New Orleans Pelicans,Promoter,363,350,13,4%
Brooklyn Nets vs. New York Knicks,Detractor,154,114,40,26%
Brooklyn Nets vs. New York Knicks,Passive,151,137,14,9%
Brooklyn Nets vs. New York Knicks,Promoter,713,694,19,3%
Brooklyn Nets vs. Oklahoma City Thunder,Detractor,61,47,14,23%
Brooklyn Nets vs. Oklahoma City Thunder,Passive,86,76,10,12%
Brooklyn Nets vs. Oklahoma City Thunder,Promoter,298,290,8,3%
Brooklyn Nets vs. Orlando Magic,Detractor,61,46,15,25%
Brooklyn Nets vs. Orlando Magic,Passive,86,80,6,7%
Brooklyn Nets vs. Orlando Magic,Promoter,428,424,4,1%
Brooklyn Nets vs. Philadelphia 76ers,Detractor,125,104,21,17%
Brooklyn Nets vs. Philadelphia 76ers,Passive,155,144,11,7%
Brooklyn Nets vs. Philadelphia 76ers,Promoter,598,576,22,4%
Brooklyn Nets vs. Phoenix Suns,Detractor,44,31,13,30%
Brooklyn Nets vs. Phoenix Suns,Passive,49,43,6,12%
Brooklyn Nets vs. Phoenix Suns,Promoter,251,242,9,4%
Brooklyn Nets vs. Portland Trail Blazers,Detractor,56,44,12,21%
